 Wvl;         Refl;      St_dev
 900.00000;  11.23133;   1.63503
 901.00000;  11.26600;   1.49223
 902.00000;  11.04867;   1.46994
 903.00000;  11.01400;   1.69143
 904.00000;  11.10800;   1.80536
 905.00000;  11.14800;   1.72552
 906.00000;  11.01200;   1.54792
 907.00000;  11.25133;   1.61399
 908.00000;  11.27733;   1.65785
 909.00000;  11.00467;   1.58785
 910.00000;  10.99800;   1.64190
 911.00000;  11.10067;   1.60850
 912.00000;  11.04933;   1.58390
 913.00000;  10.77067;   1.59898
 914.00000;  10.93000;   1.55737
 915.00000;  11.09467;   1.48465
 916.00000;  11.13200;   1.46825
 917.00000;  11.12933;   1.63292
 918.00000;  11.02867;   1.62519
 919.00000;  11.07467;   1.55075
 920.00000;  11.32133;   1.53911
 921.00000;  11.38667;   1.55078
 922.00000;  11.12800;   1.60410
 923.00000;  10.88467;   1.67030
 924.00000;  11.11733;   1.74309
 925.00000;  11.39267;   1.55725
 926.00000;  11.49000;   1.41735
 927.00000;  11.34400;   1.45489
 928.00000;  11.06933;   1.84548
 929.00000;  11.14933;   1.92805
 930.00000;  11.54533;   1.69721
 931.00000;  11.90133;   1.78904
 932.00000;  11.71667;   1.43382
 933.00000;  11.05200;   1.48252
 934.00000;  10.55733;   2.01765
 935.00000;  11.16400;   2.15578
 936.00000;  11.43000;   2.01977
 937.00000;  11.50600;   1.59692
 938.00000;  11.47267;   1.40694
 939.00000;  10.92600;   1.65895
 940.00000;  11.54400;   1.76388
 941.00000;  12.08267;   1.53313
 942.00000;  11.22067;   1.24707
 943.00000;  11.40600;   1.41186
 944.00000;  11.41267;   1.64092
 945.00000;  11.10267;   1.65804
 946.00000;  11.36267;   1.73335
 947.00000;  11.52867;   1.46105
 948.00000;  11.38000;   1.40626
 949.00000;  11.18133;   1.79326
 950.00000;  11.95800;   1.78416
 951.00000;  12.10467;   1.63924
 952.00000;  11.57800;   1.55853
 953.00000;  10.98333;   1.73464
 954.00000;  11.25333;   2.07865
 955.00000;  11.69067;   1.72317
 956.00000;  11.75000;   1.55331
 957.00000;  11.28600;   1.40297
 958.00000;  10.97667;   1.33411
 959.00000;  11.15000;   1.75647
 960.00000;  11.77533;   2.33181
 961.00000;  12.47333;   1.62806
 962.00000;  11.96867;   1.43965
 963.00000;  11.27000;   1.66700
 964.00000;  11.33533;   2.01805
 965.00000;  11.14933;   1.87844
 966.00000;  11.75467;   1.50433
 967.00000;  12.38400;   1.40306
 968.00000;  11.89467;   1.64461
 969.00000;  11.42933;   1.71765
 970.00000;  11.20800;   1.67296
 971.00000;  11.26333;   1.65209
 972.00000;  11.47133;   1.68430
 973.00000;  11.54333;   1.51614
 974.00000;  11.39200;   1.42023
 975.00000;  11.25400;   1.58504
 976.00000;  11.85867;   1.54840
 977.00000;  11.20733;   1.46669
